16/04 14:35:01, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:35:06, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:35:10, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:35:14, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:35:19, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:35:32, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:35:36, SENSOR, ACTIVITY (): ON_FOOT

16/04 14:36:05, MODE, changing to DEFAULT, latestMacAddress: 

16/04 14:36:05, MODE, killing MOVING
16/04 14:36:06, SENSOR, ACTIVITY (): UNKNOWN
16/04 14:36:06, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
16/04 14:36:06, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
16/04 14:36:07, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
16/04 14:36:07, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
16/04 14:36:09, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:36:09, SENSOR, ACTIVITY (): TILTING
16/04 14:36:11, SENSOR, TIME (timer): TICK
16/04 14:36:16, SENSOR, TIME (timer): TICK
16/04 14:36:21, SENSOR, TIME (timer): TICK
16/04 14:36:26, SENSOR, TIME (timer): TICK
16/04 14:36:27, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:36:31, SENSOR, TIME (timer): TICK
16/04 14:36:36, SENSOR, TIME (timer): TICK
